ticker,earn_datetime,AfterClose
AAPL,2020-10-29 16:30:32,True
AAPL,2020-07-30 18:55:04,True
AAPL,2020-04-30 16:30:41,True
AAPL,2020-01-28 16:30:40,True
AAPL,2019-10-30 16:30:40,True
AAPL,2019-07-30 16:30:36,True
AAPL,2019-04-30 16:30:16,True
AAPL,2019-01-29 16:30:18,True
AAPL,2019-01-02 16:30:03,True
AAPL,2018-11-01 16:30:21,True
AAPL,2018-07-31 16:30:20,True
AAPL,2018-05-01 16:30:17,True
AAPL,2018-02-01 16:30:17,True
AAPL,2017-11-02 16:30:16,True
AAPL,2017-08-01 16:30:15,True
AAPL,2017-05-02 16:31:37,True
AAPL,2017-01-31 16:31:02,True
AAPL,2016-10-25 16:32:39,True
AAPL,2016-07-26 16:30:55,True
AAPL,2016-04-26 16:31:09,True
AAPL,2016-01-26 16:31:06,True
AAPL,2015-10-27 16:30:36,True
AAPL,2015-07-21 16:30:58,True
AAPL,2015-04-27 16:30:42,True
AAPL,2015-01-27 16:31:00,True
AMZN,2020-10-29 16:42:03,True
AMZN,2020-07-30 19:05:15,True
AMZN,2020-04-30 16:42:20,True
AMZN,2020-01-30 16:46:49,True
AMZN,2019-10-24 19:53:55,True
AMZN,2019-07-25 16:33:27,True
AMZN,2019-04-25 16:10:54,True
AMZN,2019-01-31 16:30:02,True
AMZN,2018-10-25 16:18:13,True
AMZN,2018-07-26 16:14:07,True
AMZN,2018-04-26 16:16:09,True
AMZN,2018-02-01 16:15:34,True
AMZN,2017-10-26 16:09:54,True
AMZN,2017-07-27 16:07:05,True
AMZN,2017-04-27 16:06:06,True
AMZN,2017-02-02 16:09:02,True
AMZN,2016-10-27 16:11:45,True
AMZN,2016-07-28 16:09:16,True
AMZN,2016-04-28 16:08:22,True
AMZN,2016-01-28 16:27:32,True
AMZN,2015-10-22 16:24:45,True
AMZN,2015-07-23 16:26:25,True
AMZN,2015-04-23 16:09:53,True
AMZN,2015-01-29 16:10:52,True
FB,2020-10-29 16:07:58,True
FB,2020-07-30 19:18:23,True
FB,2020-04-29 16:10:26,True
FB,2020-01-29 16:10:08,True
FB,2019-10-30 16:13:02,True
FB,2019-07-24 16:27:15,True
FB,2019-04-24 16:09:20,True
FB,2019-01-30 16:16:27,True
FB,2018-10-30 16:14:19,True
FB,2018-07-25 16:08:39,True
FB,2018-04-25 16:18:44,True
FB,2018-01-31 16:10:19,True
FB,2017-11-01 16:11:06,True
FB,2017-07-26 16:07:54,True
FB,2017-05-03 16:13:45,True
FB,2017-02-01 16:04:53,True
FB,2016-11-02 16:11:08,True
FB,2016-07-27 16:13:39,True
FB,2016-04-27 16:28:32,True
FB,2016-01-27 16:07:50,True
FB,2015-11-04 16:06:26,True
FB,2015-07-29 16:03:14,True
FB,2015-04-22 16:10:20,True
FB,2015-01-28 16:03:42,True
NFLX,2020-10-20 16:07:02,True
NFLX,2020-07-16 16:57:23,True
NFLX,2020-04-21 16:02:36,True
NFLX,2020-01-21 16:03:07,True
NFLX,2019-12-16 16:09:23,True
NFLX,2019-10-16 16:39:04,True
NFLX,2019-07-17 16:40:15,True
NFLX,2019-04-16 16:07:16,True
NFLX,2019-01-17 16:08:07,True
NFLX,2019-01-02 19:40:08,True
NFLX,2018-10-16 16:21:34,True
NFLX,2018-07-16 16:13:49,True
NFLX,2018-04-16 16:16:26,True
NFLX,2018-01-22 16:09:34,True
NFLX,2017-10-16 16:15:14,True
NFLX,2017-07-17 16:16:03,True
NFLX,2017-04-17 16:22:12,True
NFLX,2017-01-18 16:08:16,True
NFLX,2016-10-17 16:16:21,True
NFLX,2016-07-18 16:05:15,True
NFLX,2016-04-18 16:11:43,True
NFLX,2016-01-19 16:13:20,True
NFLX,2015-10-14 16:11:06,True
